programme,registered_name,international_name,institution,official_programme_code,rio_programme_unit_code,offered_programme_code,form,languages,locations,website,all_names,rio_rows
Pre-master Taal- en Spraakpathologie,Taalwetenschap,Linguistics,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56803,1001O5997,737071c8-07cf-4432-ba53-197b9a19da63,VOLTIJD,NLD,Nijmegen,,Pre-master Taal- en Spraakpathologie | Taalwetenschap | Linguistics | Pre-Master's Language and Speech Pathology,1
Pre-master Tweejarige Educatieve Master Duits,Duitse Taal en Cultuur,German Language and Culture,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56805,1001O6009,174726b5-fed9-4110-9d89-0dca1c6871e9,VOLTIJD,NLD,Nijmegen,,Pre-master Tweejarige Educatieve Master Duits | Duitse Taal en Cultuur | German Language and Culture | Two-year Educational Pre-Master's German,1
Pre-master Tweejarige Educatieve Master Engels,English Language and Culture,English Language and Culture,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,50290,1001O5672,f6dd47dc-aa16-40b1-918c-49b2bc81a5c5,VOLTIJD,NLD,Nijmegen,,Pre-master Tweejarige Educatieve Master Engels | English Language and Culture | Two-year Educational Pre-Master's English,1
Pre-master Tweejarige Educatieve Master Frans,Romaanse Talen en Culturen,Romance Languages and Cultures,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56074,1001O5835,92e50565-9a86-43f8-a706-ae6bce19a53d,VOLTIJD,NLD,Nijmegen,,Pre-master Tweejarige Educatieve Master Frans | Romaanse Talen en Culturen | Romance Languages and Cultures | Two-year Educational Pre-Master's French,1
Pre-master Tweejarige Educatieve Master Geschiedenis,Geschiedenis,History,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56034,1001O5822,6c9437cf-82f4-49b0-b0c0-9bcf148053d7,VOLTIJD,NLD,Nijmegen,,Pre-master Tweejarige Educatieve Master Geschiedenis | Geschiedenis | History | Two-year Educational Pre-Master's History,1
Pre-master Tweejarige Educatieve Master Kunstgeschiedenis en Culturele en Kunstzinnige Vorming,Kunstgeschiedenis,Art History,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56824,1001O6053,43069d1c-d093-45db-ba81-3bf4a8113d77,VOLTIJD,NLD,Nijmegen,,Pre-master Tweejarige Educatieve Master Kunstgeschiedenis en Culturele en Kunstzinnige Vorming | Kunstgeschiedenis | Art History | Two-year Educational Pre-Master's Art History and Cultural and Artistic Education,1
Pre-master Tweejarige Educatieve Master Nederlands,Nederlandse Taal en Cultuur,Dutch Language and Culture,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56804,1001O6003,8a29a387-d838-427f-a393-47bdcdfad0ac,VOLTIJD,NLD,Nijmegen,,Pre-master Tweejarige Educatieve Master Nederlands | Nederlandse Taal en Cultuur | Dutch Language and Culture | Two-year Educational Pre-Master's Dutch,1
Pre-master Tweejarige Educatieve Master Spaans,Romaanse Talen en Culturen,Romance Languages and Cultures,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56074,1001O5835,33e91c3e-008c-4632-8231-d77d06f3e089,VOLTIJD,NLD,Nijmegen,,Pre-master Tweejarige Educatieve Master Spaans | Romaanse Talen en Culturen | Romance Languages and Cultures | Two-year Educational Pre-Master's Spanish,1
Taalwetenschap,Taalwetenschap,Linguistics,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56803,1001O5997,07deb57c-52b5-4707-b755-9f7a884062c3,VOLTIJD,NLD,Nijmegen,,Taalwetenschap | Linguistics,1
Bestuurskunde,Bestuurskunde,Public Administration,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,56627,1001O5969,8cb1dc73-ece7-4219-b0b6-01d57d6c64ec,VOLTIJD,NLD,Nijmegen,,Bestuurskunde | Public Administration,1
