programme,registered_name,international_name,institution,kind,official_programme_code,rio_programme_unit_code,provider_id,degree,study_load,locations,languages,official_websites,rio_rows,all_registered_names,pilot_seed,pilot_match_score,status_checked,status_source
Culturele Antropologie en Ontwikkelingssociologie,Culturele Antropologie en Ontwikkelingssociologie,Cultural Anthropology and Development Sociology,Universiteit van Amsterdam,OPLEIDING,50035,1001O5653,113A697,BACHELOR,180,Amsterdam,ENG | NLD,http://www.uva.nl/bsc-antropologie | http://www.uva.nl/en/education/bachelor-s/bachelor-s-programmes/bachelor-s-programmes.html,2,Cultural Anthropology and Development Sociology | Culturele Antropologie en Ontwikkelingssociologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Cultuurwetenschappen,Cultuurwetenschappen,Cultural Studies,Universiteit van Amsterdam,OPLEIDING,50004,1001O5623,113A697,BACHELOR,180,Amsterdam,ENG | NLD,https://www.uva.nl/ba-gacp | https://www.uva.nl/shared-content/programmas/en/bachelors/human-geography-and-planning/human-geography-and-planning.html,2,Cultural Studies | Cultuurwetenschappen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Duitse Taal en Cultuur,Duitse Taal en Cultuur,German Language and Culture,Universiteit van Amsterdam,OPLEIDING,56805,1001O6007,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-duitslandstudies,1,Duitse Taal en Cultuur | German Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Econometrics and Data Science,Econometrics and Data Science,Econometrics and Data Science,Universiteit van Amsterdam,OPLEIDING,59332,1001O6240,113A697,BACHELOR,180,Amsterdam,ENG | NLD,http://uva.nl/bsc-econometrics | http://uva.nl/bsc-econometrie,2,Econometrics and Data Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Economics and Business Economics,Economics and Business Economics,Economics and Business Economics,Universiteit van Amsterdam,OPLEIDING,59318,1001O6230,113A697,BACHELOR,180,Amsterdam,ENG | NLD,http://uva.nl/bsc-ebe | http://uva.nl/en/bsc-ebe,2,Economics and Business Economics,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
English Language and Culture,Engelse Taal en Cultuur,English Language and Culture,Universiteit van Amsterdam,OPLEIDING,56806,1001O6013,113A697,BACHELOR,180,Amsterdam,ENG,http://www.uva.nl/ba-english-language,1,Engelse Taal en Cultuur | English Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Europese Studies,Europese Studies,European Studies,Universiteit van Amsterdam,OPLEIDING,56051,1001O5830,113A697,BACHELOR,180,Amsterdam,ENG | NLD,http://www.uva.nl/ba-european-studies | http://www.uva.nl/ba-europese-studies,2,European Studies | Europese Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Filosofie,Filosofie,Philosophy,Universiteit van Amsterdam,OPLEIDING,56081,1001O5841,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-filosofie,1,Filosofie | Philosophy,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Fiscaal Recht,Fiscaal Recht,Tax Law,Universiteit van Amsterdam,OPLEIDING,56827,1001O6065,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/llb-fiscaal-recht,1,Fiscaal Recht | Tax Law,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Fiscale Economie,Fiscale Economie,Fiscal Economics,Universiteit van Amsterdam,OPLEIDING,56402,1001O5887,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/bsc-fiscale-economie,1,Fiscal Economics | Fiscale Economie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Franse Taal en Cultuur,Franse Taal en Cultuur,French Language and Culture,Universiteit van Amsterdam,OPLEIDING,56808,1001O6020,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-frans,1,Franse Taal en Cultuur | French Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Future Planet Studies,Future Planet Studies,Future Planet Studies,Universiteit van Amsterdam,OPLEIDING,50425,1001O5693,113A697,BACHELOR,180,Amsterdam,NLD,http://uva.nl/fps,1,Future Planet Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Geneeskunde,Geneeskunde,Medicine,Universiteit van Amsterdam,OPLEIDING,56551,1001O5908,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/programmas/bachelors/geneeskunde/geneeskunde.html,1,Geneeskunde | Medicine,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Geschiedenis,Geschiedenis,History,Universiteit van Amsterdam,OPLEIDING,56034,1001O5820,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-geschiedenis,1,Geschiedenis | History,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Griekse en Latijnse Taal en Cultuur,Griekse en Latijnse Taal en Cultuur,Greek and Latin Language and Culture,Universiteit van Amsterdam,OPLEIDING,56003,1001O5807,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-grieks-latijn,1,Greek and Latin Language and Culture | Griekse en Latijnse Taal en Cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Hebreeuwse Taal en Cultuur,Hebreeuwse Taal en Cultuur,Hebrew Language and Culture,Universiteit van Amsterdam,OPLEIDING,50901,1001O5749,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-hebreeuws,1,Hebreeuwse Taal en Cultuur | Hebrew Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Informatica - vrije opleiding,Informatica,Computing Science,Universiteit van Amsterdam,OPLEIDING,56978,1001O6172,113A697,BACHELOR,180,Amsterdam,NLD,http://uva.nl/bsc-informatica,2,Computing Science | Informatica | Informatica - open curriculum | Informatica - vrije opleiding,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Informatiekunde - vrije opleiding,Informatiekunde,Information Science,Universiteit van Amsterdam,OPLEIDING,56842,1001O6097,113A697,BACHELOR,180,Amsterdam,NLD,http://uva.nl/bsc-informatiekunde,2,Informatiekunde | Informatiekunde - open curriculum | Informatiekunde - vrije opleiding | Information Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Interdisciplinaire Sociale Wetenschap,Interdisciplinaire sociale wetenschap,Interdisciplinary Social Science,Universiteit van Amsterdam,OPLEIDING,56631,1001O5972,113A697,BACHELOR,180,Amsterdam,NLD,https://www.uva.nl/programmas/bachelors/interdisciplinaire-sociale-wetenschap/interdisciplinaire-sociale-wetenschap.html,1,Interdisciplinaire Sociale Wetenschap | Interdisciplinaire sociale wetenschap | Interdisciplinary Social Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Italiaanse Taal en Cultuur,Italiaanse Taal en Cultuur,Italian Language and Culture,Universiteit van Amsterdam,OPLEIDING,56809,1001O6025,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-italiaans,1,Italiaanse Taal en Cultuur | Italian Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Kunstgeschiedenis,Kunstgeschiedenis,Art History,Universiteit van Amsterdam,OPLEIDING,56824,1001O6051,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-kunstgeschiedenis,1,Art History | Kunstgeschiedenis,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Kunstmatige Intelligentie,Kunstmatige Intelligentie,Artificial Intelligence,Universiteit van Amsterdam,OPLEIDING,56981,1001O6184,113A697,BACHELOR,180,Amsterdam,NLD,http://uva.nl/bsc-kunstmatige-intelligentie,1,Artificial Intelligence | Kunstmatige Intelligentie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Liberal Arts and Sciences - joint degree UvA-VU,Liberal Arts and Sciences (joint degree),Liberal Arts and Sciences (joint degree),Universiteit van Amsterdam,OPLEIDING,55002,1001O5782,113A697,BACHELOR,180,Amsterdam,ENG,http://www.auc.nl/,1,Liberal Arts and Sciences (joint degree) | Liberal Arts and Sciences - joint degree UvA-VU,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Linguistics,Taalwetenschap,Linguistics,Universiteit van Amsterdam,OPLEIDING,56803,1001O5995,113A697,BACHELOR,180,Amsterdam,ENG,http://www.uva.nl/ba-linguistics,1,Linguistics | Taalwetenschap,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Literary Studies,Literatuurwetenschap,Literary Studies,Universiteit van Amsterdam,OPLEIDING,56802,1001O5990,113A697,BACHELOR,180,Amsterdam,ENG,http://www.uva.nl/ba-literary-and-cultural-analysis,1,Literary Studies | Literatuurwetenschap,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Media and Information,Media en informatie,Media and information,Universiteit van Amsterdam,OPLEIDING,50010,1001O5630,113A697,BACHELOR,180,Amsterdam,ENG,http://www.uva.nl/ba-media-and-information,1,Media and Information | Media and information | Media en informatie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Media en Cultuur,Media en Cultuur,Media and Culture,Universiteit van Amsterdam,OPLEIDING,50906,1001O5759,113A697,BACHELOR,180,Amsterdam,ENG | NLD,http://www.uva.nl/ba-media | http://www.uva.nl/ba-media-and-culture,2,Media and Culture | Media en Cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Medische Informatiekunde,Medische Informatiekunde,Medical Informatics,Universiteit van Amsterdam,OPLEIDING,56573,1001O5920,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/onderwijs/bachelor/bacheloropleidingen/item/medische-informatiekunde.html,1,Medical Informatics | Medische Informatiekunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Muziekwetenschap,Muziekwetenschap,Musicology,Universiteit van Amsterdam,OPLEIDING,56700,1001O5976,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-muziekwetenschap,1,Musicology | Muziekwetenschap,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Natuur- en Sterrenkunde - joint degree UvA-VU,Natuur- en Sterrenkunde (joint degree),Physics and Astronomy (joint degree),Universiteit van Amsterdam,OPLEIDING,55013,1001O5797,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/programmas/bachelors/natuur--en-sterrenkunde/natuur--en-sterrenkunde.html,2,"Natuur- en Sterrenkunde (joint degree) | Natuur- en Sterrenkunde - joint degree UvA-VU | Natuur- en Sterrenkunde - joint degree UvA-VU, open curriculum | Natuur- en Sterrenkunde - joint degree UvA-VU, vrije opleiding | Physics and Astronomy (joint degree)",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Nederlandse Taal en Cultuur,Nederlandse Taal en Cultuur,Dutch Language and Culture,Universiteit van Amsterdam,OPLEIDING,56804,1001O6001,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-nederlands,1,Dutch Language and Culture | Nederlandse Taal en Cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Nieuwgriekse Taal en Cultuur,Nieuwgriekse Taal en Cultuur,Modern Greek Language and Culture,Universiteit van Amsterdam,OPLEIDING,56814,1001O6034,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-nieuwgrieks,1,Modern Greek Language and Culture | Nieuwgriekse Taal en Cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Onderwijswetenschappen,Onderwijswetenschappen,Educational Sciences,Universiteit van Amsterdam,OPLEIDING,50003,1001O5621,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/programmas/bachelors/onderwijswetenschappen/onderwijswetenschappen.html?origin=QM8V0lIERF2uFhPGbux%2F2g,1,Educational Sciences | Onderwijswetenschappen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Oudheidwetenschappen,Oudheidwetenschappen,Ancient Studies,Universiteit van Amsterdam,OPLEIDING,56704,1001O5982,113A697,BACHELOR,180,Amsterdam,ENG | NLD,http://www.uva.nl/ba-ancient-studies | http://www.uva.nl/ba-oudheidwetenschappen,2,Ancient Studies | Oudheidwetenschappen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pedagogische Wetenschappen - vrije opleiding,Pedagogische Wetenschappen,Pedagogical Sciences,Universiteit van Amsterdam,OPLEIDING,56607,1001O5947,113A697,BACHELOR,180,Amsterdam,NLD,https://www.uva.nl/programmas/bachelors/pedagogische-wetenschappen/pedagogische-wetenschappen.html?origin=QM8V0lIERF2uFhPGbux%2F2g,2,Pedagogical Sciences | Pedagogische Wetenschappen | Pedagogische Wetenschappen - open curriculum | Pedagogische Wetenschappen - vrije opleiding,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Politicologie,Politicologie,Political Science,Universiteit van Amsterdam,OPLEIDING,56606,1001O5940,113A697,BACHELOR,180,Amsterdam,ENG | NLD,htp://www.uva.nl/bsc-politicalscience | http://uva.nl/bsc-politicologie,2,Political Science | Politicologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
"Politics, Psychology, Law and Economics","Politics, Psychology, Law and Economics","Politics, Psychology, Law and Economics",Universiteit van Amsterdam,OPLEIDING,59312,1001O6228,113A697,BACHELOR,180,Amsterdam,ENG,http://pple.uva.nl,1,"Politics, Psychology, Law and Economics",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Psychobiologie,Psychobiologie,Psychobiology,Universiteit van Amsterdam,OPLEIDING,50014,1001O5635,113A697,BACHELOR,180,Amsterdam,NLD,http://uva.nl/bsc-psychobiologie,1,Psychobiologie | Psychobiology,pilot-01,1.000,2026-08-21,DUO RIO HO Opleidingsoverzicht
Psychologie,Psychologie,Psychology,Universiteit van Amsterdam,OPLEIDING,56604,1001O5934,113A697,BACHELOR,180,Amsterdam,ENG | NLD,http://uva.nl/bsc-psychologie | http://uva.nl/bsc-psychology,2,Psychologie | Psychology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Rechtsgeleerdheid,Rechtsgeleerdheid,Law,Universiteit van Amsterdam,OPLEIDING,50700,1001O5729,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/llb-rechtsgeleerdheid,1,Law | Rechtsgeleerdheid,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Religiewetenschappen,Religiewetenschappen,Religious Studies,Universiteit van Amsterdam,OPLEIDING,50902,1001O5753,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-religiewetenschappen,1,Religiewetenschappen | Religious Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Scandinavische Talen en Culturen,Scandinavische Talen en Culturen,Scandinavian Languages and Cultures,Universiteit van Amsterdam,OPLEIDING,56807,1001O6017,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-scandinavisch,1,Scandinavian Languages and Cultures | Scandinavische Talen en Culturen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Scheikunde - joint degree UvA-VU,Scheikunde (joint degree),Chemistry (joint degree),Universiteit van Amsterdam,OPLEIDING,55012,1001O5795,113A697,BACHELOR,180,Amsterdam,NLD,http://uva.nl/bsc-scheikunde,2,"Chemistry (joint degree) | Scheikunde (joint degree) | Scheikunde - joint degree UvA-VU | Scheikunde - joint degree UvA-VU, open curriculum | Scheikunde - joint degree UvA-VU, vrije opleiding",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
"Science, Technology & Innovation","Science, Technology & Innovation","Science, Technology & Innovation",Universiteit van Amsterdam,OPLEIDING,50993,1001O8898,113A697,BACHELOR,180,Amsterdam,NLD,https://www.uva.nl/programmas/bachelors/science-technology-and-innovation/science-technology-and-innovation.html,1,"Science, Technology & Innovation",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Slavische Talen en Culturen,Slavische Talen en Culturen,Slavonic Language and Culture,Universiteit van Amsterdam,OPLEIDING,56813,1001O6033,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-slavisch,1,Slavische Talen en Culturen | Slavonic Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Sociale Geografie en Planologie,Sociale Geografie en Planologie,Human Geography and Planning,Universiteit van Amsterdam,OPLEIDING,56838,1001O6090,113A697,BACHELOR,180,Amsterdam,ENG | NLD,https://www.uva.nl/programmas/bachelors/sociale-geografie-en-planologie/sociale-geografie-en-planologie.html | https://www.uva.nl/shared-content/programmas/en/bachelors/human-geography-and-planning/human-geography-and-planning.html,2,Human Geography and Planning | Sociale Geografie en Planologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Sociologie,Sociologie,Sociology,Universiteit van Amsterdam,OPLEIDING,56601,1001O5924,113A697,BACHELOR,180,Amsterdam,ENG | NLD,http://uva.nl/bsc-sociologie | http://uva.nl/bsc-sociology,2,Sociologie | Sociology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Spaanse Taal en Cultuur,Spaanse Taal en Cultuur,Spanish Language and Culture,Universiteit van Amsterdam,OPLEIDING,56810,1001O6027,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-spaans,1,Spaanse Taal en Cultuur | Spanish Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Tandheelkunde,Tandheelkunde,Dentistry,Universiteit van Amsterdam,OPLEIDING,56560,1001O5916,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/bsc-tandheelkunde,1,Dentistry | Tandheelkunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Theaterwetenschap,Theaterwetenschap,Theatre Studies,Universiteit van Amsterdam,OPLEIDING,56702,1001O5977,113A697,BACHELOR,180,Amsterdam,NLD,http://www.uva.nl/ba-theaterwetenschap,1,Theaterwetenschap | Theatre Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Wiskunde - vrije opleiding,Wiskunde,Mathematics,Universiteit van Amsterdam,OPLEIDING,56980,1001O6179,113A697,BACHELOR,180,Amsterdam,NLD,http://uva.nl/bsc-wiskunde,2,Mathematics | Wiskunde | Wiskunde - open curriculum | Wiskunde - vrije opleiding,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Humanistiek,Humanistiek,Humanistic Studies,Universiteit voor Humanistiek,OPLEIDING,56105,1001O5853,109A997,BACHELOR,180,Utrecht,NLD,,1,Humanistic Studies | Humanistiek,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
"B Aarde, Economie en Duurzaamheid","Aarde, Economie en Duurzaamheid","Earth Sciences, Economics and Sustainability",VU - Vrije Universiteit Amsterdam,OPLEIDING,50668,1001O5722,111A136,BACHELOR,180,Amsterdam,NLD,,1,"Aarde, Economie en Duurzaamheid | B Aarde, Economie en Duurzaamheid | B Earth Sciences, Economics and Sustain. | Earth Sciences, Economics and Sustainability",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Aardwetenschappen,Aardwetenschappen,Earth Sciences,VU - Vrije Universiteit Amsterdam,OPLEIDING,56986,1001O6196,111A136,BACHELOR,180,Amsterdam,NLD,,1,Aardwetenschappen | B Aardwetenschappen | B Earth Sciences | Earth Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Archeologie,Archeologie,Archaeology,VU - Vrije Universiteit Amsterdam,OPLEIDING,56703,1001O5981,111A136,BACHELOR,180,Amsterdam,NLD,,1,Archaeology | Archeologie | B Archaeology | B Archeologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,VU - Vrije Universiteit Amsterdam,OPLEIDING,56945,1001O6128,111A136,BACHELOR,180,Amsterdam,ENG,,1,Artificial Intelligence | B Artificial Intelligence,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Bedrijfskunde,Bedrijfskunde,Business Administration,VU - Vrije Universiteit Amsterdam,OPLEIDING,50645,1001O5714,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Bedrijfskunde | B Business Administration | Bedrijfskunde | Business Administration,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Bestuurs- en Organisatiewetenschap,Bestuurs- en Organisatiewetenschap,Public Administration and Organization Science,VU - Vrije Universiteit Amsterdam,OPLEIDING,50007,1001O5627,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Bestuurs- en Organisatiewetenschap | B Public Administration and Organization | Bestuurs- en Organisatiewetenschap | Public Administration and Organization Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Bewegingswetenschappen,Bewegingswetenschappen,Human Movement Sciences,VU - Vrije Universiteit Amsterdam,OPLEIDING,56950,1001O6135,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Bewegingswetenschappen | B Human Movement Sciences | Bewegingswetenschappen | Human Movement Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Biologie,Biologie,Biology,VU - Vrije Universiteit Amsterdam,OPLEIDING,56860,1001O6122,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Biologie | B Biology | Biologie | Biology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Biomedical Sciences,Biomedical Sciences,Biomedical Sciences,VU - Vrije Universiteit Amsterdam,OPLEIDING,59324,1001O6233,111A136,BACHELOR,180,Amsterdam,ENG,,1,B Biomedical Sciences | Biomedical Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Business Analytics,Business Analytics,Business Analytics,VU - Vrije Universiteit Amsterdam,OPLEIDING,56856,1001O6110,111A136,BACHELOR,180,Amsterdam,ENG,,1,B Business Analytics | Business Analytics,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Communicatie & Informatiewetenschappen,Communicatie- en Informatiewetenschappen,Communication and Information Studies,VU - Vrije Universiteit Amsterdam,OPLEIDING,56826,1001O6058,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Communicatie & Informatiewetenschappen | B Communication and Information Studies | Communicatie- en Informatiewetenschappen | Communication and Information Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Communicatiewetenschap,Communicatiewetenschap,Communication Science,VU - Vrije Universiteit Amsterdam,OPLEIDING,56615,1001O5960,111A136,BACHELOR,180,Amsterdam,ENG | NLD,,2,B Communicatiewetenschap | B Communication Science | B Communication Science (Dutch taught) | Communicatiewetenschap | Communication Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Computer Science,Computer Science,Computer Science,VU - Vrije Universiteit Amsterdam,OPLEIDING,50426,1001O5694,111A136,BACHELOR,180,Amsterdam,ENG,,1,B Computer Science | Computer Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Criminologie,Criminologie,Criminology,VU - Vrije Universiteit Amsterdam,OPLEIDING,56469,1001O5901,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Criminologie | B Criminology | Criminologie | Criminology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Cultural Anthropology and Dev. Soc.,Culturele Antropologie en Ontwikkelingssociologie,Cultural Anthropology and Development Sociology,VU - Vrije Universiteit Amsterdam,OPLEIDING,50035,1001O5654,111A136,BACHELOR,180,Amsterdam,ENG | NLD,,2,B Cultural Anthropology and Dev. Soc. | B Culturele Antropologie en Ontw. Soc. | Cultural Anthropology and Dev. Soc. | Cultural Anthropology and Development Sociology | Culturele Antropologie en Ontwikkelingssociologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Econometrics and Data Science,Econometrics and Data Science,Econometrics and Data Science,VU - Vrije Universiteit Amsterdam,OPLEIDING,59332,1001O8891,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Econometrics and Data Science | Econometrics and Data Science,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Econometrie en Operationele Research,Econometrie en Operationele Research,Econometrics and Operations Research,VU - Vrije Universiteit Amsterdam,OPLEIDING,56833,1001O6080,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Econometrics and Operations Research | B Econometrie en Operationele Research | Econometrics and Operations Research | Econometrie en Operationele Research,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Economie en bedrijfseconomie,Economie en Bedrijfseconomie,Economics and Business Economics,VU - Vrije Universiteit Amsterdam,OPLEIDING,50950,1001O5765,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Economics and Business Economics | B Economie en bedrijfseconomie | Economics and Business Economics | Economie en Bedrijfseconomie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Farmaceutische Wetenschappen,Farmaceutische Wetenschappen,Pharmaceutical Sciences,VU - Vrije Universiteit Amsterdam,OPLEIDING,56989,1001O6202,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Farmaceutische Wetenschappen | B Pharmaceutical Sciences | Farmaceutische Wetenschappen | Pharmaceutical Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Filosofie,Filosofie,Philosophy,VU - Vrije Universiteit Amsterdam,OPLEIDING,56081,1001O5842,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Filosofie | B Philosophy | Filosofie | Philosophy,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Geneeskunde,Geneeskunde,Medicine,VU - Vrije Universiteit Amsterdam,OPLEIDING,56551,1001O5909,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Geneeskunde | B Medicine | Geneeskunde | Medicine,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Geschiedenis,Geschiedenis,History,VU - Vrije Universiteit Amsterdam,OPLEIDING,56034,1001O5821,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Geschiedenis | B History | Geschiedenis | History,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Gezondheid en Leven,Gezondheid en Leven,Health and Life Sciences,VU - Vrije Universiteit Amsterdam,OPLEIDING,50509,1001O5702,111A136,BACHELOR,180,Amsterdam,ENG,,1,B Gezondheid en Leven | B Health and Life Sciences | Gezondheid en Leven | Health and Life Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Gezondheidswetenschappen,Gezondheidswetenschappen,Health Sciences,VU - Vrije Universiteit Amsterdam,OPLEIDING,56553,1001O5914,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Gezondheidswetenschappen | B Health Sciences | Gezondheidswetenschappen | Health Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Griekse en Latijnse Taal en Cultuur,Griekse en Latijnse Taal en Cultuur,Greek and Latin Languages and Cultures,VU - Vrije Universiteit Amsterdam,OPLEIDING,56003,1001O5808,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Greek and Latin Languages and Cultures | B Griekse en Latijnse Taal en Cultuur | Greek and Latin Languages and Cultures | Griekse en Latijnse Taal en Cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B International Business Administration,International Business Administration,International Business Administration,VU - Vrije Universiteit Amsterdam,OPLEIDING,50952,1001O5772,111A136,BACHELOR,180,Amsterdam,ENG,,1,B International Business Administration | International Business Administration,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Law in Society,Law in Society,Law in Society,VU - Vrije Universiteit Amsterdam,OPLEIDING,59334,1001O6241,111A136,BACHELOR,180,Amsterdam,ENG,,1,B Law in Society | Law in Society,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Literatuur en Samenleving,Literatuur en Samenleving,Literature and Society,VU - Vrije Universiteit Amsterdam,OPLEIDING,55823,1001O5802,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Literature and Society | B Literatuur en Samenleving | Literature and Society | Literatuur en Samenleving,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Mathematics,Mathematics,Mathematics,VU - Vrije Universiteit Amsterdam,OPLEIDING,59322,1001O6232,111A136,BACHELOR,180,Amsterdam,ENG,,1,B Mathematics | Mathematics,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
