programme,registered_name,international_name,institution,kind,official_programme_code,rio_programme_unit_code,provider_id,degree,study_load,locations,languages,official_websites,rio_rows,all_registered_names,pilot_seed,pilot_match_score,status_checked,status_source
Pedagogische Wetenschappen van Primair Onderwijs,Pedagogische Wetenschappen van Primair Onderwijs,Pedagogical Sciences of Primary Education,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,59329,1001O6238,114A129,BACHELOR,180,Nijmegen,NLD,,2,Pedagogical Sciences of Primary Education | Pedagogische Wetenschappen van Primair Onderwijs | Pre-Master's Pedagogical Sciences of Primary Education | Pre-master Curriculumontwikkeling voor Primair Onderwijs,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master 1 jarige lerarenopleiding RDA-FSW,Sociologie,Sociology,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,56601,1001O5926,114A129,BACHELOR,180,Nijmegen,NLD,,3,Pre-Master's 1 year Teaching RDA-FSW | Pre-Master's Sociology | Pre-master 1 jarige lerarenopleiding RDA-FSW | Pre-master Sociologie | Sociologie | Sociology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master Onderwijswetenschappen,Pedagogische Wetenschappen,Pedagogical Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,56607,1001O5949,114A129,BACHELOR,180,Nijmegen,NLD,,3,Pedagogical Sciences | Pedagogische Wetenschappen | Pre-Master's Educational Sciences | Pre-Master's Pedagogical Sciences: Pedagogy | Pre-Master's Pedagogical Sciences: Remedial Educationalist | Pre-master Onderwijswetenschappen | Pre-master Pedagogische Wetenschappen: Orthopedagogiek | Pre-master Pedagogische Wetenschappen: Pedagogiek,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Psychologie,Psychologie,Psychology,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,56604,1001O5936,114A129,BACHELOR,180,Nijmegen,"ENG,NLD",,1,Psychologie | Psychology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Aardrijkskunde,"Geografie, Planologie en Milieu","Geography, Spatial Planning and Environment",Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,56947,1001O6131,114A128,BACHELOR,180,Nijmegen,NLD,,1,"Educatieve Minor of Module Aardrijkskunde | Education Module Geography | Geografie, Planologie en Milieu | Geography, Spatial Planning and Environment",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Biologie,Biology,Biology,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,59325,1001O6234,114A128,BACHELOR,180,Nijmegen,NLD,,1,Biology | Educatieve Minor of Module Biologie | Education Module Biology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Duits,Duitse Taal en Cultuur,German Language and Culture,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,56805,1001O6009,114A128,BACHELOR,180,Nijmegen,NLD,,1,Duitse Taal en Cultuur | Educatieve Minor of Module Duits | Education Module German | German Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Engels,English Language and Culture,English Language and Culture,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,50290,1001O5672,114A128,BACHELOR,180,Nijmegen,NLD,,1,Educatieve Minor of Module Engels | Education Module English | English Language and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Frans,Romaanse Talen en Culturen,Romance Languages and Cultures,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,56074,1001O5835,114A128,BACHELOR,180,Nijmegen,NLD,,2,Educatieve Minor of Module Frans | Educatieve Minor of Module Spaans | Education Module French | Education Module Spanish | Romaanse Talen en Culturen | Romance Languages and Cultures,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Geschiedenis,Geschiedenis,History,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,56034,1001O5822,114A128,BACHELOR,180,Nijmegen,NLD,,1,Educatieve Minor of Module Geschiedenis | Education Module History | Geschiedenis | History,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Godsdienst & levensbeschouwing,Religiewetenschappen,Religious Studies,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,50902,1001O5755,114A128,BACHELOR,180,Nijmegen,NLD,,1,Educatieve Minor of Module Godsdienst & levensbeschouwing | Education Module Religious Studies | Religiewetenschappen | Religious Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Godsdienst & levensbeschouwing,Theologie,Theology,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,56109,1001O5857,114A128,BACHELOR,180,Nijmegen,NLD,,1,Educatieve Minor of Module Godsdienst & levensbeschouwing | Education Module Religious Studies | Theologie | Theology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Educatieve Minor of Module Grieks en Latijn,Griekse en Latijnse Taal en Cultuur,Classics,Radboud Universiteit Nijmegen (RU) Radboud Docenten Academie,OPLEIDING,56003,1001O5809,114A128,BACHELOR,180,Nijmegen,NLD,,1,Classics | Educatieve Minor of Module Grieks en Latijn | Education Module Greek and Latin | Griekse en Latijnse Taal en Cultuur,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
