source_excel_row,source_registry_offering_count,AANGEBODEN_OPLEIDINGCODE,OPLEIDINGSEENHEIDCODE,ERKENDEOPLEIDINGSCODE,VARIANT_VAN,SOORT,ONDERWIJSBESTUURID,ONDERWIJSBESTUUR_NAAM,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDER_NAAM,NAAM_LANG,INTERNATIONALE_NAAM,EIGENNAAM,VORM,VOERTAAL,STUDIELAST,BEGINDATUM,EINDDATUM,AANGEBODEN_OPLEIDING_BEGINDATUM,AANGEBODEN_OPLEIDING_EINDDATUM,EERSTE_INSTROOMDATUM,LAATSTE_INSTROOMDATUM,WEBSITE,SAMENWERKEND_MET,BUITENLANDSEPARTNER,ONDERWIJSLOCATIECODE,ONDERWIJSLOCATIEPLAATS,raw_record_count,raw_csv_rows_json,raw_conflict_fields_json,raw_conflict_values_json
47,1,ff66a977-b280-4159-b41b-ea3222e2aee1,1001O5640,50017,,OPLEIDING,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A123,Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid,European Law School,European Law School,European Law School,VOLTIJD,NLD,180,2012-09-01,2027-09-01,2012-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[3909],[],{}
48,1,2f54ec7b-04ae-437d-bfbf-22adba92452c,1015O6459,,56081,VARIANT,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A122,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,Filosofie,Philosophy,Filosofie,VOLTIJD,NLD,180,,,2002-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[3845],[],{}
49,1,5d33adae-f0c2-4a35-b594-2a39b2488e1a,1015O6482,,56074,VARIANT,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,Franse Taal en Cultuur,French Language and Culture,Franse Taal en Cultuur,VOLTIJD,NLD,180,,,2018-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[3990],[],{}
50,1,9afc9f9f-e6b0-4d1c-acfa-96bb1b9aadc9,1001O5910,56551,,OPLEIDING,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A126,Radboud Universiteit Nijmegen (RU) Faculteit der Medische Wetenschappen,Geneeskunde,Medicine,Geneeskunde,VOLTIJD,NLD,180,2005-09-01,,2005-09-01,,,,,,,114X875,Nijmegen,1,[4127],[],{}
51,1,46378952-8ba8-48a3-8d95-ba2dc150741c,1001O6131,56947,,OPLEIDING,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A125,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,"Geografie, Planologie en Milieu","Geography, Spatial Planning and Environment","Geografie, Planologie en Milieu",VOLTIJD,NLD,180,2012-09-01,,2012-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[4047],[],{}
52,1,e37d3b88-66c0-4517-b234-194a45a0a058,1015O6464,,56034,VARIANT,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,Geschiedenis,History,Geschiedenis,VOLTIJD,NLD,180,,,2002-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[3989],[],{}
53,1,77af18be-c752-473a-b2f1-fd142e1d4c00,1001O5809,56003,,OPLEIDING,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,Griekse en Latijnse Taal en Cultuur,Classics,Griekse en Latijnse Taal en Cultuur,VOLTIJD,NLD,180,2002-09-01,,2002-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[3946],[],{}
54,1,05ad0343-1cdb-4cfc-a11f-336f8c969fc3,1001O8935,59349,,OPLEIDING,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,Humane Neurowetenschappen,Human Neuroscience,Humane Neurowetenschappen,VOLTIJD,NLD,180,2026-09-01,,2026-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[4312],[],{}
55,1,27fb5a14-b164-4f20-b5fe-f019854836c2,1001O6235,59326,,OPLEIDING,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A127,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,Computing Science,Computing Science,Informatica,VOLTIJD,ENG,180,2018-09-01,,2018-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[4173],[],{}
56,1,82fd2c05-20ed-4194-a979-f450ef1df956,1016O1159,,50645,VARIANT,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A125,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,International Business Administration,International Business Administration,International Business Administration,VOLTIJD,ENG,180,,,2025-09-01,,2026-09-01,,,,,114X875,Nijmegen,1,[4091],[],{}
