source_excel_row,ONDERWIJSBESTUURID,ONDERWIJSBESTUUR_NAAM,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDER_NAAM,SOORT,OPLEIDINGSEENHEIDCODE,ERKENDEOPLEIDINGSCODE,VARIANT_VAN,NAAM_LANG,EIGENNAAM,VORM,VOERTAAL,STUDIELAST,EINDDATUM,AANGEBODEN_OPLEIDING_EINDDATUM,LAATSTE_INSTROOMDATUM,flag_codes_json,needs_resolution,resolution_case_ids_json
60,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A127,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,OPLEIDING,1001O6127,56944,,Molecular Life Sciences,Moleculaire Levenswetenschappen,VOLTIJD,ENG,180,,,,"[""canonical_name_alias_present"",""missing_website"",""provider_differs_from_board""]",false,[]
61,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A127,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,OPLEIDING,1001O6132,56948,,Natural Sciences,Natural Sciences,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
62,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A127,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,OPLEIDING,1001O6193,56984,,Natuur- en Sterrenkunde,Natuur- en Sterrenkunde,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
63,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,1001O6003,56804,,Nederlandse Taal en Cultuur,Nederlandse Taal en Cultuur,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
64,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A123,Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid,VARIANT,1016O6840 | 1016O6841,,56828,Notarieel Recht,Notarieel Recht,VOLTIJD | DEELTIJD,NLD,180,,,,"[""missing_website"",""multi_offering_identity_sensitive"",""multiple_modes"",""multiple_offerings"",""multiple_programme_units"",""provider_differs_from_board"",""variant_record""]",true,"[""rc-0007""]"
65,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,VARIANT,1015O6471,,56607,Pedagogische Wetenschappen,Pedagogische Wetenschappen,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
66,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,1001O6238,59329,,Pedagogische Wetenschappen van Primair Onderwijs,Pedagogische Wetenschappen van Primair Onderwijs,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
67,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A122,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,VARIANT,1015O6460,,56081,"Philosophy, Politics and Society","Philosophy, Politics and Society",VOLTIJD,ENG,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
68,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A125,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,OPLEIDING,1001O5942,56606,,Politicologie,Politicologie,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
69,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,1001O5936,56604,,Psychologie,Psychologie,VOLTIJD,"ENG,NLD",180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
