case_id,case_type,priority,source_excel_rows_json,offering_ids_json,programme_unit_codes_json,programme_names_json,providers_json,trigger_fields_json,details_json,research_likely,status
rc-0015,missing-core-registry-metadata,P1,[164],"[""9301643e-650b-4e17-84cf-4e7bb3c81d59""]","[""1001O6175""]","[""Informatica""]","[""Open Universiteit""]","[""VOERTAAL""]","{""missing_fields"":[""VOERTAAL""]}",true,pending
rc-0016,missing-core-registry-metadata,P1,[169],"[""8a8ac1ca-8dbc-4ccc-9603-1b491d0e0b76""]","[""1016O1755""]","[""Theologie""]","[""Protestantse Theologische Universiteit""]","[""VOERTAAL""]","{""missing_fields"":[""VOERTAAL""]}",true,pending
rc-0017,missing-core-registry-metadata,P1,[170],"[""7ec8283e-6bf0-481c-97ee-5902e80e485f"",""bd01dacc-7403-4f20-8f80-bc57d2b8e87c""]","[""1001O5786""]","[""Theologie (joint degree)""]","[""Protestantse Theologische Universiteit""]","[""VOERTAAL""]","{""missing_fields"":[""VOERTAAL""]}",true,pending
rc-0018,programme-lifecycle-review,P2,[170],"[""7ec8283e-6bf0-481c-97ee-5902e80e485f"",""bd01dacc-7403-4f20-8f80-bc57d2b8e87c""]","[""1001O5786""]","[""Theologie (joint degree)""]","[""Protestantse Theologische Universiteit""]","[""EINDDATUM"",""AANGEBODEN_OPLEIDING_EINDDATUM""]","{""EINDDATUM"":[""2029-09-01""],""AANGEBODEN_OPLEIDING_EINDDATUM"":[""2029-09-01""]}",true,pending
rc-0019,special-programme-structure-review,P1,[170],"[""7ec8283e-6bf0-481c-97ee-5902e80e485f"",""bd01dacc-7403-4f20-8f80-bc57d2b8e87c""]","[""1001O5786""]","[""Theologie (joint degree)""]","[""Protestantse Theologische Universiteit""]","[""programme_name_keyword"",""SAMENWERKEND_MET"",""BUITENLANDSEPARTNER""]","{""special_name_indicator"":true,""collaboration_values"":[""111A136""]}",true,pending
rc-0020,multiple-languages-in-source-row,P1,[178],"[""9a7d3271-edc5-4cb6-b9d6-c0961afb1eb7"",""d5f3bff1-0da9-493b-8fdb-de0f2e57ce8a""]","[""1001O6056""]","[""Communicatie- en Informatiewetenschappen""]","[""Rijksuniversiteit Groningen""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0021,multiple-languages-in-source-row,P1,[184],"[""82208812-6628-4218-9bc3-75899aa22507"",""ae66d52f-a2cd-4901-a3d9-758d1def7154""]","[""1001O5866""]","[""Europese Talen en Culturen""]","[""Rijksuniversiteit Groningen""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0022,multiple-languages-in-source-row,P1,[189],"[""9c581084-e27a-4479-8319-da52b189f6c5"",""b49220e3-6bad-4151-bc7b-26353b11b190"",""bca85496-aabf-4684-a7c9-c8f94ad39a36"",""c6c14e5e-a173-4962-9bfc-c4f2349fbd91""]","[""1001O5817""]","[""Geschiedenis""]","[""Rijksuniversiteit Groningen""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0023,programme-lifecycle-review,P2,[195],"[""2094d140-1f9f-4c1b-97dc-24e7fe031ce7""]","[""1001O6095""]","[""Informatiekunde""]","[""Rijksuniversiteit Groningen""]","[""AANGEBODEN_OPLEIDING_EINDDATUM"",""LAATSTE_INSTROOMDATUM""]","{""AANGEBODEN_OPLEIDING_EINDDATUM"":[""2030-09-01""],""LAATSTE_INSTROOMDATUM"":[""2027-09-01""]}",true,pending
rc-0024,multiple-languages-in-source-row,P1,[200],"[""9e23a930-ecf9-4d34-8d18-e67f01e7a0bd"",""a8535621-e4bd-4c12-ae3e-c6f3c9faa529""]","[""1001O5707""]","[""Kunsten, Cultuur en Media""]","[""Rijksuniversiteit Groningen""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0025,programme-lifecycle-review,P2,[208],"[""d3f89b01-47e8-45a6-9784-af4673f05905"",""fcdcc818-1259-4ec2-8eb9-eb4fc45456e8""]","[""1001O5810""]","[""Minorities & Multilingualism""]","[""Rijksuniversiteit Groningen""]","[""EINDDATUM"",""AANGEBODEN_OPLEIDING_EINDDATUM"",""LAATSTE_INSTROOMDATUM""]","{""EINDDATUM"":[""2031-09-01""],""AANGEBODEN_OPLEIDING_EINDDATUM"":[""2030-09-01"",""2031-09-01""],""LAATSTE_INSTROOMDATUM"":[""2026-09-01""]}",true,pending
rc-0026,programme-lifecycle-review,P2,[211],"[""0a7af361-bc30-4c15-8bf4-0e56c08fa50b""]","[""1001O5999""]","[""Nederlandse Taal en Cultuur""]","[""Rijksuniversiteit Groningen""]","[""EINDDATUM"",""AANGEBODEN_OPLEIDING_EINDDATUM""]","{""EINDDATUM"":[""2026-09-01""],""AANGEBODEN_OPLEIDING_EINDDATUM"":[""2026-09-01""]}",true,pending
rc-0027,multiple-languages-in-source-row,P1,[216],"[""4ab3b08b-8e82-4cb5-ac50-8e55c3a64810"",""6f88b5d5-d5af-4775-b07a-87773fd3535b""]","[""1001O5929""]","[""Psychologie""]","[""Rijksuniversiteit Groningen""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0028,multiple-locations-in-source-row,P1,[217],"[""048b86d5-80b4-47c6-b575-2978bc2c9676"",""9b40f5fa-8bae-4ebc-a6dd-7fef966024ff""]","[""1001O5725""]","[""Rechtsgeleerdheid""]","[""Rijksuniversiteit Groningen""]","[""ONDERWIJSLOCATIECODE"",""ONDERWIJSLOCATIEPLAATS""]","{""ONDERWIJSLOCATIECODE"":[""114X066"",""114X067""],""ONDERWIJSLOCATIEPLAATS"":[""Groningen"",""Leeuwarden""]}",true,pending
rc-0029,multiple-languages-in-source-row,P1,[218],"[""1ae42d82-855c-4125-8003-9e75ec2d1418"",""e8c968b9-ccc9-4d44-9583-ec3d6611faf4""]","[""1001O5751""]","[""Religiewetenschappen""]","[""Rijksuniversiteit Groningen""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0030,missing-core-registry-metadata,P1,[232],"[""e49d865c-85a9-44a2-b0b0-07d36e668ba0""]","[""1016O1090""]","[""B Bedrijfskunde""]","[""Tilburg University""]","[""STUDIELAST"",""VARIANT_VAN""]","{""missing_fields"":[""STUDIELAST"",""VARIANT_VAN""]}",true,pending
rc-0031,missing-core-registry-metadata,P1,[247],"[""497276e4-db19-46ab-9e63-69cbacc4023c""]","[""1016O1094""]","[""B Data Science (joint degree)""]","[""Tilburg University""]","[""STUDIELAST"",""ERKENDEOPLEIDINGSCODE""]","{""missing_fields"":[""STUDIELAST"",""ERKENDEOPLEIDINGSCODE""]}",true,pending
rc-0032,special-programme-structure-review,P1,[247],"[""497276e4-db19-46ab-9e63-69cbacc4023c""]","[""1016O1094""]","[""B Data Science (joint degree)""]","[""Tilburg University""]","[""programme_name_keyword"",""SAMENWERKEND_MET"",""BUITENLANDSEPARTNER""]","{""special_name_indicator"":true,""collaboration_values"":[]}",true,pending
rc-0033,missing-core-registry-metadata,P1,[253],"[""b6a0ccc1-41ca-4c13-b4e7-71b5c05e541e""]","[""1016O0438""]","[""B Fiscale Economie""]","[""Tilburg University""]","[""STUDIELAST"",""ERKENDEOPLEIDINGSCODE""]","{""missing_fields"":[""STUDIELAST"",""ERKENDEOPLEIDINGSCODE""]}",true,pending
rc-0034,multiple-locations-in-source-row,P1,[257],"[""3f6223e1-1733-4157-a138-60f2e6fb6ca5"",""7a3f3634-f5b8-47bd-8d43-3c9dcd72fb45"",""aef8281f-a56c-468f-bf61-3a17f47bf374"",""b19a72e3-1d14-42c4-b26d-6fe47bd3d926""]","[""1001O5858""]","[""Theologie""]","[""Tilburg University""]","[""ONDERWIJSLOCATIECODE"",""ONDERWIJSLOCATIEPLAATS""]","{""ONDERWIJSLOCATIECODE"":[""111X362"",""114X187""],""ONDERWIJSLOCATIEPLAATS"":[""Tilburg"",""Utrecht""]}",true,pending
rc-0035,special-programme-structure-review,P1,[278],"[""0a965189-5d8c-06f5-e063-6f2ba8c07429""]","[""1015O6359""]","[""Data Science""]","[""Technische Universiteit Eindhoven""]","[""programme_name_keyword"",""SAMENWERKEND_MET"",""BUITENLANDSEPARTNER""]","{""special_name_indicator"":false,""collaboration_values"":[""112A446""]}",true,pending
rc-0036,missing-core-registry-metadata,P1,[281],"[""27e23ff8-9996-49de-a45e-7a4c9d7f8eef""]","[""1016O3578""]","[""Mechanical Engineering""]","[""Technische Universiteit Eindhoven""]","[""STUDIELAST"",""VARIANT_VAN""]","{""missing_fields"":[""STUDIELAST"",""VARIANT_VAN""]}",true,pending
rc-0037,programme-lifecycle-review,P2,[289],"[""e4de27b6-ec9d-46b7-a9f0-7ade138b1ed3""]","[""1001O5859""]","[""Theologie""]","[""Theologische Universiteit Apeldoorn""]","[""AANGEBODEN_OPLEIDING_EINDDATUM""]","{""AANGEBODEN_OPLEIDING_EINDDATUM"":[""2029-08-30""]}",true,pending
rc-0038,programme-lifecycle-review,P2,[298],"[""42fe62d2-354f-45be-9b1d-97b1585e296b"",""a9549a79-15f5-4667-9dea-35a7730a8be7""]","[""1001O5899""]","[""Criminologie""]","[""Universiteit Leiden""]","[""AANGEBODEN_OPLEIDING_EINDDATUM""]","{""AANGEBODEN_OPLEIDING_EINDDATUM"":[""2031-08-31""]}",true,pending
rc-0039,programme-lifecycle-review,P2,[307],"[""13740343-8cc0-4857-a859-d1af59425991"",""c2311d3c-2fb8-4a92-893b-5857b81f4ced""]","[""1001O6061""]","[""Fiscaal Recht""]","[""Universiteit Leiden""]","[""AANGEBODEN_OPLEIDING_EINDDATUM""]","{""AANGEBODEN_OPLEIDING_EINDDATUM"":[""2031-08-31""]}",true,pending
rc-0040,multiple-locations-in-source-row,P1,[312],"[""a4812baf-728b-4150-8051-5905a14a0505"",""ebd8088f-01e9-43dc-bc37-0fbafc517019""]","[""1001O6169""]","[""Informatica""]","[""Universiteit Leiden""]","[""ONDERWIJSLOCATIECODE"",""ONDERWIJSLOCATIEPLAATS""]","{""ONDERWIJSLOCATIECODE"":[""114X175"",""114X176""],""ONDERWIJSLOCATIEPLAATS"":[""'s-Gravenhage"",""Leiden""]}",true,pending
rc-0041,special-programme-structure-review,P1,[321],"[""d0fe8a4d-c5a0-449f-b2a7-0f8aa5bad97e""]","[""1001O5791""]","[""Molecular Science and Technology (joint degree)""]","[""Universiteit Leiden""]","[""programme_name_keyword"",""SAMENWERKEND_MET"",""BUITENLANDSEPARTNER""]","{""special_name_indicator"":true,""collaboration_values"":[""111A562""]}",true,pending
